,Start_Time,Total_Accidents
0,2016-01-14,7
1,2016-01-15,0
2,2016-01-16,0
3,2016-01-17,0
4,2016-01-18,0
5,2016-01-19,0
6,2016-01-20,0
7,2016-01-21,0
8,2016-01-22,0
9,2016-01-23,0
10,2016-01-24,0
11,2016-01-25,0
12,2016-01-26,0
13,2016-01-27,0
14,2016-01-28,0
15,2016-01-29,0
16,2016-01-30,0
17,2016-01-31,0
18,2016-02-01,0
19,2016-02-02,0
20,2016-02-03,0
21,2016-02-04,0
22,2016-02-05,0
23,2016-02-06,0
24,2016-02-07,0
25,2016-02-08,1
26,2016-02-09,6
27,2016-02-10,6
28,2016-02-11,6
29,2016-02-12,7
30,2016-02-13,4
31,2016-02-14,6
32,2016-02-15,17
33,2016-02-16,11
34,2016-02-17,5
35,2016-02-18,3
36,2016-02-19,9
37,2016-02-20,3
38,2016-02-21,2
39,2016-02-22,10
40,2016-02-23,9
41,2016-02-24,9
42,2016-02-25,14
43,2016-02-26,4
44,2016-02-27,0
45,2016-02-28,3
46,2016-02-29,2
47,2016-03-01,0
48,2016-03-02,6
49,2016-03-03,6
50,2016-03-04,10
51,2016-03-05,4
52,2016-03-06,3
53,2016-03-07,4
54,2016-03-08,4
55,2016-03-09,6
56,2016-03-10,12
57,2016-03-11,6
58,2016-03-12,3
59,2016-03-13,5
60,2016-03-14,1
61,2016-03-15,8
62,2016-03-16,7
63,2016-03-17,7
64,2016-03-18,4
65,2016-03-19,2
66,2016-03-20,5
67,2016-03-21,4
68,2016-03-22,5
69,2016-03-23,18
70,2016-03-24,47
71,2016-03-25,17
72,2016-03-26,21
73,2016-03-27,15
74,2016-03-28,33
75,2016-03-29,25
76,2016-03-30,35
77,2016-03-31,16
78,2016-04-01,28
79,2016-04-02,22
80,2016-04-03,16
81,2016-04-04,20
82,2016-04-05,18
83,2016-04-06,24
84,2016-04-07,45
85,2016-04-08,26
86,2016-04-09,27
87,2016-04-10,19
88,2016-04-11,17
89,2016-04-12,19
90,2016-04-13,13
91,2016-04-14,24
92,2016-04-15,1
93,2016-04-16,0
94,2016-04-17,8
95,2016-04-18,31
96,2016-04-19,17
97,2016-04-20,20
98,2016-04-21,22
99,2016-04-22,18
100,2016-04-23,0
101,2016-04-24,13
102,2016-04-25,17
103,2016-04-26,20
104,2016-04-27,18
105,2016-04-28,14
106,2016-04-29,28
107,2016-04-30,17
108,2016-05-01,10
109,2016-05-02,23
110,2016-05-03,22
111,2016-05-04,29
112,2016-05-05,34
113,2016-05-06,2
114,2016-05-07,0
115,2016-05-08,1
116,2016-05-09,19
117,2016-05-10,39
118,2016-05-11,24
119,2016-05-12,25
120,2016-05-13,6
121,2016-05-14,0
122,2016-05-15,0
123,2016-05-16,13
124,2016-05-17,22
125,2016-05-18,31
126,2016-05-19,27
127,2016-05-20,18
128,2016-05-21,10
129,2016-05-22,16
130,2016-05-23,34
131,2016-05-24,20
132,2016-05-25,38
133,2016-05-26,24
134,2016-05-27,29
135,2016-05-28,15
136,2016-05-29,16
137,2016-05-30,24
138,2016-05-31,22
139,2016-06-01,25
140,2016-06-02,8
141,2016-06-03,20
142,2016-06-04,33
143,2016-06-05,17
144,2016-06-06,37
145,2016-06-07,17
146,2016-06-08,25
147,2016-06-09,10
148,2016-06-10,16
149,2016-06-11,24
150,2016-06-12,17
151,2016-06-13,29
152,2016-06-14,18
153,2016-06-15,1
154,2016-06-16,16
155,2016-06-17,34
156,2016-06-18,14
157,2016-06-19,14
158,2016-06-20,19
159,2016-06-21,58
160,2016-06-22,80
161,2016-06-23,70
162,2016-06-24,87
163,2016-06-25,52
164,2016-06-26,55
165,2016-06-27,76
166,2016-06-28,76
167,2016-06-29,49
168,2016-06-30,88
169,2016-07-01,46
170,2016-07-02,25
171,2016-07-03,31
172,2016-07-04,44
173,2016-07-05,75
174,2016-07-06,52
175,2016-07-07,81
176,2016-07-08,62
177,2016-07-09,68
178,2016-07-10,25
179,2016-07-11,61
180,2016-07-12,54
181,2016-07-13,55
182,2016-07-14,70
183,2016-07-15,28
184,2016-07-16,29
185,2016-07-17,14
186,2016-07-18,56
187,2016-07-19,59
188,2016-07-20,55
189,2016-07-21,62
190,2016-07-22,86
191,2016-07-23,42
192,2016-07-24,41
193,2016-07-25,68
194,2016-07-26,73
195,2016-07-27,60
196,2016-07-28,58
197,2016-07-29,73
198,2016-07-30,69
199,2016-07-31,46
200,2016-08-01,79
201,2016-08-02,94
202,2016-08-03,53
203,2016-08-04,61
204,2016-08-05,66
205,2016-08-06,46
206,2016-08-07,44
207,2016-08-08,99
208,2016-08-09,55
209,2016-08-10,58
210,2016-08-11,61
211,2016-08-12,61
212,2016-08-13,65
213,2016-08-14,50
214,2016-08-15,60
215,2016-08-16,60
216,2016-08-17,68
217,2016-08-18,83
218,2016-08-19,54
219,2016-08-20,46
220,2016-08-21,48
221,2016-08-22,79
222,2016-08-23,65
223,2016-08-24,74
224,2016-08-25,62
225,2016-08-26,73
226,2016-08-27,38
227,2016-08-28,61
228,2016-08-29,60
229,2016-08-30,71
230,2016-08-31,74
231,2016-09-01,79
232,2016-09-02,68
233,2016-09-03,43
234,2016-09-04,30
235,2016-09-05,61
236,2016-09-06,97
237,2016-09-07,64
238,2016-09-08,92
239,2016-09-09,67
240,2016-09-10,54
241,2016-09-11,51
242,2016-09-12,76
243,2016-09-13,64
244,2016-09-14,92
245,2016-09-15,73
246,2016-09-16,31
247,2016-09-17,9
248,2016-09-18,0
249,2016-09-19,1
250,2016-09-20,2
251,2016-09-21,1
252,2016-09-22,21
253,2016-09-23,96
254,2016-09-24,45
255,2016-09-25,51
256,2016-09-26,71
257,2016-09-27,79
258,2016-09-28,91
259,2016-09-29,67
260,2016-09-30,85
261,2016-10-01,52
262,2016-10-02,52
263,2016-10-03,69
264,2016-10-04,93
265,2016-10-05,75
266,2016-10-06,54
267,2016-10-07,74
268,2016-10-08,31
269,2016-10-09,22
270,2016-10-10,29
271,2016-10-11,72
272,2016-10-12,58
273,2016-10-13,64
274,2016-10-14,88
275,2016-10-15,49
276,2016-10-16,35
277,2016-10-17,51
278,2016-10-18,65
279,2016-10-19,64
280,2016-10-20,72
281,2016-10-21,84
282,2016-10-22,74
283,2016-10-23,37
284,2016-10-24,80
285,2016-10-25,68
286,2016-10-26,72
287,2016-10-27,54
288,2016-10-28,3
289,2016-10-29,22
290,2016-10-30,44
291,2016-10-31,69
292,2016-11-01,78
293,2016-11-02,94
294,2016-11-03,78
295,2016-11-04,99
296,2016-11-05,45
297,2016-11-06,37
298,2016-11-07,94
299,2016-11-08,82
300,2016-11-09,60
301,2016-11-10,87
302,2016-11-11,77
303,2016-11-12,54
304,2016-11-13,77
305,2016-11-14,95
306,2016-11-15,74
307,2016-11-16,84
308,2016-11-17,93
309,2016-11-18,105
310,2016-11-19,80
311,2016-11-20,47
312,2016-11-21,90
313,2016-11-22,90
314,2016-11-23,84
315,2016-11-24,48
316,2016-11-25,51
317,2016-11-26,46
318,2016-11-27,62
319,2016-11-28,56
320,2016-11-29,77
321,2016-11-30,72
322,2016-12-01,64
323,2016-12-02,74
324,2016-12-03,59
325,2016-12-04,52
326,2016-12-05,60
327,2016-12-06,112
328,2016-12-07,70
329,2016-12-08,73
330,2016-12-09,108
331,2016-12-10,90
332,2016-12-11,44
333,2016-12-12,104
334,2016-12-13,86
335,2016-12-14,80
336,2016-12-15,102
337,2016-12-16,92
338,2016-12-17,139
339,2016-12-18,69
340,2016-12-19,58
341,2016-12-20,98
342,2016-12-21,85
343,2016-12-22,58
344,2016-12-23,99
345,2016-12-24,44
346,2016-12-25,20
347,2016-12-26,48
348,2016-12-27,92
349,2016-12-28,69
350,2016-12-29,76
351,2016-12-30,76
352,2016-12-31,42
353,2017-01-01,9
354,2017-01-02,26
355,2017-01-03,73
356,2017-01-04,41
357,2017-01-05,84
358,2017-01-06,87
359,2017-01-07,63
360,2017-01-08,63
361,2017-01-09,88
362,2017-01-10,108
363,2017-01-11,88
364,2017-01-12,61
365,2017-01-13,49
366,2017-01-14,34
