State,Severity,Severity
AL,1,681
AL,2,76993
AL,3,21542
AL,4,1828
AR,1,37
AR,2,19239
AR,3,677
AR,4,2827
AZ,1,7389
AZ,2,140553
AZ,3,17551
AZ,4,5116
CA,1,10284
CA,2,1445833
CA,3,271814
CA,4,13502
CO,1,970
CO,2,56105
CO,3,26306
CO,4,7504
CT,1,72
CT,2,50392
CT,3,16369
CT,4,4172
DC,1,143
DC,2,16489
DC,3,1177
DC,4,821
DE,1,234
DE,2,11596
DE,3,715
DE,4,1552
FL,1,7083
FL,2,755895
FL,3,104065
FL,4,13149
GA,1,1007
GA,2,94206
GA,3,61245
GA,4,12776
IA,1,58
IA,2,17226
IA,3,6954
IA,4,2069
ID,1,1
ID,2,10604
ID,3,225
ID,4,546
IL,1,1620
IL,2,105273
IL,3,57748
IL,4,4317
IN,1,327
IN,2,45415
IN,3,15877
IN,4,5605
KS,1,34
KS,2,14837
KS,3,5321
KS,4,800
KY,1,291
KY,2,18255
KY,3,12476
KY,4,1232
LA,1,2534
LA,2,127647
LA,3,17575
LA,4,1945
MA,1,1500
MA,2,41326
MA,3,18623
MA,4,547
MD,1,517
MD,2,103558
MD,3,25450
MD,4,10892
ME,1,4
ME,2,2259
ME,3,316
ME,4,119
MI,1,1048
MI,2,113020
MI,3,40488
MI,4,7635
MN,1,489
MN,2,160848
MN,3,29884
MN,4,863
MO,1,270
MO,2,48766
MO,3,25405
MO,4,2882
MS,1,29
MS,2,10739
MS,3,3570
MS,4,843
MT,2,27894
MT,3,143
MT,4,459
NC,1,5139
NC,2,293066
NC,3,29590
NC,4,10404
ND,1,1
ND,2,3455
ND,3,14
ND,4,17
NE,1,93
NE,2,24047
NE,3,4151
NE,4,579
NH,1,82
NH,2,7818
NH,3,2059
NH,4,254
NJ,1,199
NJ,2,113315
NJ,3,21318
NJ,4,5887
NM,1,153
NM,2,6750
NM,3,2849
NM,4,573
NV,1,128
NV,2,17127
NV,3,3690
NV,4,720
NY,1,1247
NY,2,265902
NY,3,70062
NY,4,10749
OH,1,1706
OH,2,79373
OH,3,30589
OH,4,6447
OK,1,1303
OK,2,75059
OK,3,6800
OK,4,485
OR,1,1323
OR,2,162713
OR,3,9730
OR,4,5894
PA,1,1731
PA,2,247991
PA,3,31031
PA,4,15867
RI,1,189
RI,2,8935
RI,3,7728
RI,4,119
SC,1,6175
SC,2,330817
SC,3,42470
SC,4,3095
SD,2,221
SD,3,8
SD,4,60
TN,1,2335
TN,2,133054
TN,3,28510
TN,4,3489
TX,1,4233
TX,2,450952
TX,3,120443
TX,4,7209
UT,1,632
UT,2,79801
UT,3,15000
UT,4,1646
VA,1,3115
VA,2,230660
VA,3,51324
VA,4,18202
VT,1,3
VT,2,616
VT,3,217
VT,4,90
WA,1,865
WA,2,73339
WA,3,29926
WA,4,4091
WI,1,90
WI,2,21530
WI,3,9606
WI,4,3462
WV,1,2
WV,2,12444
WV,3,524
WV,4,823
WY,2,3028
WY,3,182
WY,4,547
